vehicle_id,ev_model_name,battery_pack_id,age_months,odometer_km,fast_charging_share,avg_daily_km,avg_temperature,voltage_mean,current_mean,soh_percent,rul_months,rul_cycles,rul_cycles
EV0000,Audi e-tron,BAT018,24,17982,27,25,22.77,359.11,195.46,82.28,63.7,832,832
EV0001,Hyundai Kona EV,BAT016,85,77176,12,30.3,40.46,384.59,262.44,79.15,54.7,831,831
EV0002,Audi e-tron,BAT003,69,76596,37,37,29.21,382.61,135.36,81.84,62.4,830,830
EV0003,Hyundai Kona EV,BAT028,32,61372,55,63.9,21.29,386.49,127.38,77.42,49.8,829,829
EV0004,BMW i4,BAT034,37,57893,49,52.2,30.2,390.86,223.11,76.73,47.8,828,828
EV0005,BYD Atto 3,BAT022,43,49647,45,38.5,29.26,394.08,230.97,85.74,73.5,827,827
EV0006,BMW i4,BAT004,90,163797,50,60.7,22.74,370.54,288.09,60,0,826,826
EV0007,BMW i4,BAT008,81,113997,46,46.9,25.83,405.71,112.05,82.02,62.9,825,825
EV0008,BYD Atto 3,BAT037,43,55191,42,42.8,26.93,368.48,255.24,73.89,39.7,824,824
EV0009,Audi e-tron,BAT022,59,92590,21,52.3,39.99,404.32,279.38,60.27,0.8,823,823
EV0010,Nissan Leaf,BAT043,19,29937,66,52.5,44.82,373.46,139.85,90.15,86.1,822,822
EV0011,Hyundai Kona EV,BAT021,32,39426,59,41.1,20.8,377.51,221.78,91.12,88.9,821,821
EV0012,BYD Atto 3,BAT049,3,4962,39,55.1,25.05,358.94,236.92,98.16,109,820,820
EV0013,Hyundai Kona EV,BAT009,16,11949,54,24.9,31.35,389,126.68,93.42,95.5,819,819
EV0014,Kia EV6,BAT022,25,45011,10,60,38.8,396.08,214.04,91.75,90.7,818,818
EV0015,Hyundai Kona EV,BAT012,47,48763,62,34.6,44.55,416.79,110.35,61.67,4.8,817,817
EV0016,Audi e-tron,BAT001,91,106953,8,39.2,44.67,384.97,263.76,68.54,24.4,816,816
